rhoS_pop	1.00000	nan	nan	0.00478	0.00690	-0.01932	-0.02577	-0.00219	-0.00510
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_rhoS	0.00478	nan	nan	1.00000	-0.01412	-0.00763	-0.00294	-0.01621	0.01049
omega_deltaSC	0.00690	nan	nan	-0.01412	1.00000	0.01455	-0.00291	0.05202	-0.32927
omega_deltaCB	-0.01932	nan	nan	-0.00763	0.01455	1.00000	0.01060	0.01669	-0.04093
b1	-0.02577	nan	nan	-0.00294	-0.00291	0.01060	1.00000	0.00626	-0.00149
b2	-0.00219	nan	nan	-0.01621	0.05202	0.01669	0.00626	1.00000	-0.04490
b3	-0.00510	nan	nan	0.01049	-0.32927	-0.04093	-0.00149	-0.04490	1.00000
