rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	92282355639.404633	162758.451697
2	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	206123789266.816559	189826.818323
3	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	137203602679.519562	136966.243903
4	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	132884803914.188934	133541.817003
5	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	125355195571.550980	151934.725939
6	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	96925969117.337448	134740.576866
7	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	93936873680.642548	156473.991636
8	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	86255336163.068954	163356.033773
9	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	94755689966.879623	224011.180354
10	AG111	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	115854393862.487930	217533.793999
1	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	177175654929.863373	321874.834318
2	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	139346198329.758087	253185.299135
3	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	156383508407.434845	292102.997787
4	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	174894736997.047577	316813.714786
5	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	174635460247.015198	293274.646560
6	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	144727512839.898743	296051.747641
7	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	150276462418.509155	257827.084570
8	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	159246022982.739441	318822.799641
9	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	114759712081.136414	270712.133689
10	AG112	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	168660380317.467926	345335.016223
1	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	143457284975.647217	223163.423953
2	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	111857256598.569855	140188.865907
3	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	141324283510.174896	191083.183514
4	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	164221686717.172760	252755.966621
5	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	217648464541.822906	213898.157735
6	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	98336339039.218842	223717.988824
7	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	130837707756.195358	190432.895712
8	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	72534357726.579056	236258.134312
9	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	177793215843.146149	191808.185274
10	AG139	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	92209803439.346054	188947.629440
1	AG142	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	230649668319.529572	276169.035513
2	AG142	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	174022021941.214081	184527.954580
3	AG142	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	192515792724.842773	240417.160536
4	AG142	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	212133043605.208862	293632.597463
5	AG142	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	183014237174.604675	292005.135841
6	AG142	-3.641496	0.000000	0.779616	0.000000	0.000000	-0.696783	196666134427.026550	303964.752686
