rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014293	-0.163288
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.109714	-0.196904
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.078146	-0.125749
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.030049	-0.197074
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.128322	-0.017738
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016013	-0.058408
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.145081	-0.164280
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102139	-0.178305
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.164240	-0.136329
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049889	-0.102336
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.135484	0.091356
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.231736	0.189482
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.192440	0.199698
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.286221	0.225657
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248158	0.250733
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095636	0.210627
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.096252	0.187109
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.261214	0.130535
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.261802	0.171396
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262805	0.182674
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035794	-0.087310
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.161099	-0.070010
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074577	-0.073839
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011962	-0.038421
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007186	-0.074244
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.065215	-0.101358
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.078091	-0.015187
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061015	-0.126258
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.067352	-0.106392
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.039491	-0.125585
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.269562	0.295274
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.069308	0.244167
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.147971	0.138550
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.106573	0.126997
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.238330	0.132497
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.130980	0.123422
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134708	0.188038
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148558	0.201453
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.161539	0.174615
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.323090	0.148483
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.133537	0.304588
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052559	0.234255
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038719	0.112972
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039649	0.119537
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.066840	0.114248
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029900	0.132729
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.132892	0.187402
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.066003	0.157342
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.085627	0.243393
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068899	0.203676
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052993	-0.105703
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.169650	-0.229096
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092565	-0.146485
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.077336	-0.156131
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.060627	-0.179840
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.043502	-0.079160
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.110028	-0.195314
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049422	-0.183721
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038851	-0.199445
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010930	-0.228877
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.233281	-0.328327
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.346909	-0.298234
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.372145	-0.275574
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.339586	-0.304256
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.138787	-0.273353
