rhoS_pop	1.00000	nan	-0.05968	0.00209	0.01410	-0.04305	0.01023	nan	-0.02509	-0.01108	-0.00543
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.05968	nan	1.00000	-0.01677	0.04800	0.15981	0.03100	nan	0.01835	0.01412	-0.02636
omega_rhoS	0.00209	nan	-0.01677	1.00000	-0.00026	-0.03638	-0.02363	nan	0.00232	-0.01437	0.00379
omega_deltaSC	0.01410	nan	0.04800	-0.00026	1.00000	-0.11632	0.07232	nan	-0.01130	0.06925	-0.32672
omega_rhoC	-0.04305	nan	0.15981	-0.03638	-0.11632	1.00000	-0.33528	nan	0.04366	0.01087	0.01654
omega_deltaCB	0.01023	nan	0.03100	-0.02363	0.07232	-0.33528	1.00000	nan	-0.02080	-0.02319	-0.11687
omega_rhoB	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b1	-0.02509	nan	0.01835	0.00232	-0.01130	0.04366	-0.02080	nan	1.00000	0.00568	0.00593
b2	-0.01108	nan	0.01412	-0.01437	0.06925	0.01087	-0.02319	nan	0.00568	1.00000	-0.01274
b3	-0.00543	nan	-0.02636	0.00379	-0.32672	0.01654	-0.11687	nan	0.00593	-0.01274	1.00000
