rhoS_pop	1.00000	0.01499	-0.06304	-0.10010	-0.08454	-0.00482	-0.00639	0.07134	0.04609	-0.00394	-0.03869	-0.02978	0.00933
deltaSC_pop	0.01499	1.00000	-0.12919	0.04267	-0.47372	0.07426	-0.76008	-0.21123	0.31514	-0.25661	-0.06848	-0.12551	0.66644
rhoC_pop	-0.06304	-0.12919	1.00000	0.41927	-0.12878	0.07750	-0.14388	0.15428	-0.45233	-0.11889	-0.07464	0.04798	0.13690
deltaCB_pop	-0.10010	0.04267	0.41927	1.00000	0.55258	0.09012	-0.03521	-0.44671	-0.08392	-0.10003	0.03845	0.20715	0.03196
rhoB_pop	-0.08454	-0.47372	-0.12878	0.55258	1.00000	-0.02176	0.59091	-0.34746	-0.02329	0.13219	0.13620	0.21265	-0.54275
omega_rhoS	-0.00482	0.07426	0.07750	0.09012	-0.02176	1.00000	-0.09397	-0.03026	0.00753	-0.06904	-0.02055	-0.00826	0.08419
omega_deltaSC	-0.00639	-0.76008	-0.14388	-0.03521	0.59091	-0.09397	1.00000	0.12081	-0.15070	0.31755	0.11468	0.11130	-0.89165
omega_rhoC	0.07134	-0.21123	0.15428	-0.44671	-0.34746	-0.03026	0.12081	1.00000	-0.13671	-0.08588	-0.05893	-0.06447	-0.09825
omega_deltaCB	0.04609	0.31514	-0.45233	-0.08392	-0.02329	0.00753	-0.15070	-0.13671	1.00000	-0.05649	0.04115	-0.04671	0.13702
omega_rhoB	-0.00394	-0.25661	-0.11889	-0.10003	0.13219	-0.06904	0.31755	-0.08588	-0.05649	1.00000	0.04369	-0.03610	-0.32405
b1	-0.03869	-0.06848	-0.07464	0.03845	0.13620	-0.02055	0.11468	-0.05893	0.04115	0.04369	1.00000	0.03602	-0.10091
b2	-0.02978	-0.12551	0.04798	0.20715	0.21265	-0.00826	0.11130	-0.06447	-0.04671	-0.03610	0.03602	1.00000	-0.08539
b3	0.00933	0.66644	0.13690	0.03196	-0.54275	0.08419	-0.89165	-0.09825	0.13702	-0.32405	-0.10091	-0.08539	1.00000
