rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.078753	-0.124357
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.161999	-0.041298
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009972	-0.221379
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027291	-0.159571
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.083992	-0.195197
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.084668	0.040944
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030662	-0.093069
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.166952	-0.100507
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061627	-0.211969
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083414	-0.121315
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.415745	0.266815
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.334908	0.261368
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.203010	0.197410
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.156129	0.263420
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.252481	0.264774
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.276806	0.215046
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060451	0.319346
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.146212	0.297950
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181309	0.173744
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.297430	0.158808
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.071131	-0.084663
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.079077	0.025365
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072126	-0.144711
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.183572	-0.165764
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048624	-0.077396
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.111043	-0.105883
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030334	0.036772
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.139903	-0.022081
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.058768	0.067886
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.216205	-0.108256
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153403	0.171727
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.228234	0.164006
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038632	0.241301
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.170796	0.195226
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.370220	0.230950
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.182951	0.239994
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.282612	0.212697
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.283786	0.305930
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.171155	0.125170
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.244119	0.114451
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.103983	0.067610
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.043238	0.179071
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085205	0.236604
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005906	0.262654
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056179	0.059828
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.086599	0.131374
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.114555	0.168026
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014676	0.339647
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050622	0.131767
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.117240	0.260323
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049332	-0.111460
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.022047	-0.062305
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029701	-0.155138
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060859	0.033194
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.059193	-0.189664
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023098	-0.056521
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026294	-0.170614
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.037958	-0.167931
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.128605	-0.213120
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.114902	-0.031596
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.208846	-0.275753
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.486277	-0.180880
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.255001	-0.366565
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.256400	-0.345569
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.403092	-0.215208
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.209805	-0.291214
7	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.292980	-0.201695
8	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.248180	-0.197121
9	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.247472	-0.307349
10	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.241050	-0.260923
