rhoS_pop	1.00000	nan	-0.02688	0.00327	0.01746	-0.00302	0.01926	-0.02453	-0.01172	-0.00856
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.02688	nan	1.00000	0.01566	0.09972	0.00697	-0.02566	0.02833	0.01158	-0.04222
omega_rhoS	0.00327	nan	0.01566	1.00000	0.00576	-0.03929	0.00533	0.00187	-0.01558	-0.00001
omega_deltaSC	0.01746	nan	0.09972	0.00576	1.00000	0.00597	-0.00105	0.02028	0.06160	-0.38292
omega_deltaCB	-0.00302	nan	0.00697	-0.03929	0.00597	1.00000	-0.31086	0.04097	-0.00880	-0.07420
omega_rhoB	0.01926	nan	-0.02566	0.00533	-0.00105	-0.31086	1.00000	-0.05632	-0.00873	-0.05418
b1	-0.02453	nan	0.02833	0.00187	0.02028	0.04097	-0.05632	1.00000	0.00735	-0.00768
b2	-0.01172	nan	0.01158	-0.01558	0.06160	-0.00880	-0.00873	0.00735	1.00000	-0.02458
b3	-0.00856	nan	-0.04222	-0.00001	-0.38292	-0.07420	-0.05418	-0.00768	-0.02458	1.00000
