rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	1	0.61818969061569051	0.19471335285385272	4.08118573849996125	4.31929038733468929	0.25526400169550428	0.00553285520982183	-0.55577970706705382	-0.05192468645500625	-0.10789370178648494	0.03353692576098175
2	1	0.58581295042420756	0.17016975949681312	4.07823299064780187	4.80935891906306168	0.21644937255689478	-0.02684388498166113	-0.69051167470644903	-0.05487743430716563	-0.00042103398403204	-0.00527770337762776
3	1	0.60530931703294455	0.21395850168819058	4.03521485834648441	4.98427322085869573	0.34684969208689514	-0.00734751837292413	-0.46152611990492987	-0.09789556660848309	0.03530277121810577	0.12512261615237261
4	1	0.58818227052401328	0.21740197980504636	4.04284289882552006	4.74425080572966085	0.24300914488700098	-0.02447456488185540	-0.44556011739289159	-0.09026752612944744	-0.01405130007412758	0.02128206895247844
5	1	0.62255706116185772	0.29690473380705040	4.10315321856205717	4.82615346834884562	0.28014800217498542	0.00990022575598903	-0.13389687302220454	-0.02995720639291033	0.00306493865920987	0.05842092624046288
6	1	0.59241110064400704	0.27468103963630047	4.21096517984715568	4.86280030320130052	0.18819479051862120	-0.02024573476186164	-0.21169763013228016	0.07785475489218818	0.01062963769172787	-0.03353228541590134
7	1	0.57136053250172281	0.20483329314933996	4.02771990167297567	4.63599427101144013	0.19438135366057549	-0.04129630290414588	-0.50511175461849267	-0.10539052328199183	-0.03713413864332837	-0.02734572227394705
8	1	0.57525441828035317	0.34107908180769581	4.21874563082589393	5.12043014968242716	0.17809322639061664	-0.03740241712551551	0.00480616307825144	0.08563520587092643	0.06225362077337127	-0.04363384954390589
9	1	0.61096738909635051	0.28869927756143116	4.16929065918117825	4.96766028481548982	0.01609336554272643	-0.00168944630951817	-0.16192261449678669	0.03618023422621075	0.03196413326095371	-0.20563371039179612
10	1	0.57909799800490314	0.25878252141551950	4.25591714131354681	4.98865069028104813	0.14607050581054301	-0.03355883740096555	-0.27132017546577503	0.12280671635857932	0.03618064208977478	-0.07565657012397953
1	2	0.75434530175178860	0.36460319316922812	4.10015675372423694	4.78173813782724544	0.24666729136472271	0.14168846634591992	0.07150142143539306	-0.03295367123073056	-0.00618072079140575	0.02494021543020017
2	2	0.74889587447022632	0.36739355616159597	4.12241978122268016	4.52725455641709917	0.17913418734461201	0.13623903906435764	0.07912543482305168	-0.01069064373228734	-0.06086913077757594	-0.04259288858991053
3	2	0.77525895521472787	0.41570714165130457	4.01948121073535702	4.83916517292135762	0.22573516807971944	0.16260211980885919	0.20267282715385626	-0.11362921421961047	0.00575739255875107	0.00400809214519690
4	2	0.72874498957356182	0.47850696536748505	4.05034298011329952	4.81375810263080783	0.32977253333156559	0.11608815416769314	0.34336256868144355	-0.08276744484166798	0.00049326101295932	0.10804545739704305
5	2	0.81116128371380269	0.28614678242870489	4.19037277068566461	4.92925353541504307	0.19277965251988050	0.19850444830793401	-0.17080329433748132	0.05726234573069711	0.02420273553687347	-0.02894742341464204
6	2	0.78904363948412137	0.30813735180085000	4.14326343375790351	4.77891462075873097	0.22915201769431598	0.17638680407825269	-0.09676256780353887	0.01015300880293601	-0.00677137442602627	0.00742494175979344
7	2	0.71685692117201483	0.32005749118198024	4.08322589944702585	4.56149995348084403	0.32639273283397974	0.10420008576614614	-0.05880755917693259	-0.04988452550794165	-0.05333332175377126	0.10466565689945720
8	2	0.73603439423825867	0.43461732425711264	4.16259090687110334	4.68705146448663967	0.14402736901363378	0.12337755883238999	0.24715773078398451	0.02948048191613584	-0.02618112921695093	-0.07769970692088876
9	2	0.77301783871846153	0.46975672727235551	3.98734826921348162	4.35378394184198925	0.23483174232011270	0.16036100331259284	0.32490676037652322	-0.14576215574148588	-0.09993948968965793	0.01310466638559016
10	2	0.74124565364736950	0.35513880189762587	4.07941699683447911	4.70959542999055181	0.21927128416907601	0.12858881824150081	0.04520050554169086	-0.05369342812048838	-0.02138281998792779	-0.00245579176544652
1	3	0.56982620398036976	0.43245182251612319	4.00622957224886456	4.87207558589345524	0.18073396395573099	-0.04283063142549892	0.24216272836348707	-0.12688085270610294	0.01253521627424847	-0.04099311197879155
2	3	0.57364663344833444	0.45267133921045161	3.98272873828620755	5.10163767356929387	0.18465298025995075	-0.03901020195753424	0.28785814288145450	-0.15038168666875995	0.05857677229032587	-0.03707409567457179
3	3	0.60737081458166231	0.34905278984051852	4.05676918175606183	4.55923044118470244	0.32738322644993689	-0.00528602082420637	0.02791497227428374	-0.07634124319890567	-0.05383098197280556	0.10565615051541435
4	3	0.59750808591879989	0.32893221772521636	4.11168131242149304	4.97979669571351113	0.28172971596244922	-0.01514874948706879	-0.03145649438952125	-0.02142911253347446	0.03440423769037126	0.06000264002792668
5	3	0.57804796542923453	0.35595059575798221	4.12254612792710962	4.77489758956214505	0.25597695923047414	-0.03460886997663415	0.04748374648355358	-0.01056429702785788	-0.00761230186836581	0.03424988329595161
6	3	0.55409116468274089	0.29383938877591670	4.09454586942806387	4.56995729961912645	0.26237669053137536	-0.05856567072312779	-0.14427487739375144	-0.03856455552690363	-0.05148096712468697	0.04064961459685282
7	3	0.63216876815349210	0.30799742304097955	3.91395844275531379	4.53742380056644024	0.20622756138453485	0.01951193274762342	-0.09721678258897160	-0.21915198219965371	-0.05862542217258215	-0.01549951454998769
8	3	0.57148102464945749	0.34839153057130279	4.14987896761200847	4.42614712382010378	0.09241629808765997	-0.04117581075641119	0.02601873640855423	0.01676854265704097	-0.08345534647367381	-0.12931077784686257
9	3	0.55686106257183687	0.37349802437044388	4.11095508751782646	4.47538859258238375	0.12438868119073722	-0.05579577283403181	0.09560451627790734	-0.02215533743714104	-0.07239164407092691	-0.09733839474378532
10	3	0.56706846514512255	0.34041288678751619	4.13989500594407023	4.68493928433456386	0.17623666897118162	-0.04558837026074614	0.00285105498281535	0.00678458098910273	-0.02663187233961195	-0.04549040696334092
1	4	0.72759588433843492	0.36727038062983663	4.05184971272759942	4.54834082496848513	0.22373956845014553	0.11493904893256623	0.07879010998472769	-0.08126071222736808	-0.05622231575155334	0.00201249251562299
2	4	0.76309984673821940	0.50233721501468498	4.13985268767011050	4.79508665630303543	0.22724878399559673	0.15044301133235072	0.39196343845301296	0.00674226271514300	-0.00339304796515094	0.00552170806107419
3	4	0.73052083014096636	0.54757204997223541	4.00318500073831363	4.87097274345215325	0.22288779726107322	0.11786399473509768	0.47818585237770872	-0.12992542421665387	0.01230883077173783	0.00116072132655068
4	4	0.76074063058300956	0.46205104676135622	4.18258463792195911	4.64164559072787242	0.23652531531258769	0.14808379517714088	0.30836717702604532	0.04947421296699162	-0.03591587182124578	0.01479823937806515
5	4	0.74649688193320851	0.42777954760769715	4.17598069859143006	4.66997422995742983	0.13749868000147256	0.13384004652733983	0.23129978842432042	0.04287027363646256	-0.02983127490376836	-0.08422839593304998
6	4	0.75060071340122669	0.49785320259814114	4.08021817740216974	4.73759961640105765	0.12794398849387195	0.13794387799535801	0.38299706089349417	-0.05289224755279776	-0.01545423096280585	-0.09378308744065059
7	4	0.73181215194647531	0.57108726704638690	4.08022160865332584	4.90096392377390977	0.21291334957092928	0.11915531654060663	0.52023383115606203	-0.05288881630164166	0.01844707654849276	-0.00881372636359326
8	4	0.76664161310166667	0.43616769905848596	4.20539490761782631	4.79786875322384976	0.18692115941998250	0.15398477769579799	0.25071860148815295	0.07228448266285881	-0.00281301879164908	-0.03480591651454004
9	4	0.76867748194014329	0.44319648750892676	4.11788298426013277	5.02425991450667642	0.20271542840688389	0.15602064653427461	0.26670501132844771	-0.01522744069483473	0.04329333404413549	-0.01901164752763865
10	4	0.72403676185205434	0.47056687350961834	4.08698043088720464	4.67752441494609528	0.19852851876970415	0.11137992644618566	0.32662988300588836	-0.04612999406776286	-0.02821582954936108	-0.02319855716481839
1	5	0.62340551367689301	0.29620081152294664	4.24114786482407169	4.54899483656936443	0.23409278060434469	0.01074867827102433	-0.13627055716715941	0.10803743986910419	-0.05607853484111125	0.01236570466982215
2	5	0.61173262541138818	0.43924984083497959	4.08559528725928800	4.62613227200875077	0.40405749466593466	-0.00092420999448051	0.25776016593332707	-0.04751513769567950	-0.03926367178754187	0.18233041873141212
3	5	0.61051662819994967	0.32158358043523072	4.17768829194818636	4.35181507941720724	0.29822584309143202	-0.00214020720591901	-0.05405071863666278	0.04457786699321886	-0.10039181065080993	0.07649876715690948
4	5	0.63864106739406312	0.33171549944911616	4.19146234491377445	4.15366360677427249	0.28342545376084927	0.02598423198819444	-0.02303052660498506	0.05835191995880695	-0.14699408673919212	0.06169837782632673
