parameter	value	se_sa	rse_sa
rhoS_pop	0.61353052950519016	0.04622916170774932	7.53494072170018114
deltaSC_pop	0.36081937128473585	0.05677082626899383	15.73386319776991193
rhoC_pop	3.71491187796282762	0.48166477663579693	12.96571203998332322
deltaCB_pop	4.40884707479037363	0.58494344262925768	13.26749221976745119
rhoB_pop	0.27827601097409360	0.11981426597227822	43.05590897069185274
omega_rhoS	0.11868347155126475	0.03340205691439846	28.14381520679617310
omega_deltaSC	0.26072861527348190	0.21891696751864734	83.96353706286602403
omega_rhoC	0.09872077340011115	0.24864201161958313	251.86392190410370517
omega_deltaCB	0.08133829930917554	0.04832718847248849	59.41504664216262910
omega_rhoB	0.04894421076803172	nan	nan
b1	0.16367949430776960	0.02149321123272311	13.13127910348319283
b2	0.17893857503479052	0.02457189673412415	13.73202884249341338
b3	0.27149649823951444	0.05912411005669517	21.77711699417052316
