rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	125670.904017	8776.793834
2	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	136715.313374	8776.794085
3	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	177377.414489	8776.794146
4	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	99600.004056	8776.794075
5	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	83292.994633	8776.794002
6	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	146366.660376	8776.794178
7	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	143350.386738	8776.793720
8	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	123894.350519	8776.793886
9	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	134454.142164	8776.793992
10	AG111	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	94052.185193	8776.794015
1	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	153684.337641	8776.794248
2	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	157643.071592	8776.794079
3	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	147113.955468	8776.794113
4	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	150846.295561	8776.793687
5	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	162301.720203	8776.794005
6	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	207051.902899	8776.793952
7	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	133517.144161	8776.793871
8	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	130738.236243	8776.794047
9	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	112710.308797	8776.793711
10	AG112	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	144433.673151	8776.794095
1	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	133194.497484	8776.794149
2	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	127247.023815	8776.793779
3	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	113285.972365	8776.793701
4	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	147429.578926	8776.793974
5	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	120995.179273	8776.794092
6	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	86749.324570	8776.793985
7	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	148238.007158	8776.793851
8	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	87086.270451	8776.794043
9	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	102628.141566	8776.793836
10	AG139	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	98983.834734	8776.793898
1	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	184807.464354	8776.794329
2	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	151608.965515	8776.793992
3	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	222077.738804	8776.793936
4	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	175806.406145	8776.794006
5	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	206162.648092	8776.794142
6	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	179554.079324	8776.793953
7	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	129465.521598	8776.794232
8	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	175442.099018	8776.793779
9	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	177869.866587	8776.793700
10	AG142	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	150965.224984	8776.794053
1	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	133191.141021	8776.794131
2	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	125585.485761	8776.794188
3	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	117890.818326	8776.793937
4	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	117668.594843	8776.793973
5	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	96497.398990	8776.793879
6	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	129183.439968	8776.793763
7	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	126807.788838	8776.794099
8	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	133461.621117	8776.793772
9	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	142302.210407	8776.793812
10	GD14	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	122363.027698	8776.794067
1	GD15	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	135887.641896	8776.794136
2	GD15	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	93868.174123	8776.794028
3	GD15	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	99139.140623	8776.794227
4	GD15	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	147987.382880	8776.793919
5	GD15	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	128572.653055	8776.794089
6	GD15	-0.001301	0.000000	0.590073	0.000000	0.000000	1.662228	204877.935304	8776.793981
