rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21532.653255	20680.464047
2	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	25957.837426	20976.141604
3	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	19941.207312	25173.386263
4	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	24331.918070	24392.861815
5	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22741.559171	24902.903132
6	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21794.501306	24610.102611
7	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	18384.632889	23152.202195
8	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	20711.752318	22334.649064
9	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	19699.003921	21355.766880
10	AG111	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22343.536704	23435.119409
1	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	28317.749544	31969.467368
2	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	31353.792979	32274.830770
3	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	26187.723215	31156.910229
4	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	31068.115489	31206.001553
5	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	31171.679127	34117.249793
6	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	30293.275270	32039.183548
7	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	26677.801787	29622.535626
8	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	28692.673094	36174.793249
9	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	28546.496119	31332.736932
10	AG112	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	27365.586110	29958.192727
1	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	23226.431300	21694.431634
2	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	23054.685168	24066.372976
3	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	20736.224785	24028.361603
4	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22783.802939	21650.442894
5	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21695.425118	22965.253078
6	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21970.849791	23290.727649
7	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	20268.052200	24661.907251
8	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22123.205011	23894.261391
9	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	19834.046469	24827.669868
10	AG139	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22513.489326	22780.435504
1	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	31617.601952	30287.683624
2	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	30225.598601	34244.356003
3	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	27907.259372	35622.705299
4	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	30171.079783	33246.039148
5	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	29018.828491	33450.433879
6	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	27063.806419	29570.902162
7	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	30649.461239	30885.416165
8	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	25706.900142	31116.097629
9	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	30969.887822	33591.457844
10	AG142	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	32619.464238	29622.608311
1	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	27473.469230	31263.435590
2	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	23123.768389	32618.760833
3	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21695.205027	29864.855049
4	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	26005.555045	34434.185150
5	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22346.113812	33711.288558
6	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	19730.832168	31456.917850
7	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	24003.251745	26534.652193
8	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	23033.639688	29950.669062
9	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	24805.685717	30264.027190
10	GD14	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22354.703943	31456.351677
1	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22173.437061	21792.746136
2	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	20219.021383	21209.084669
3	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22652.761570	23551.008802
4	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22701.571614	24984.843831
5	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	22299.325550	26392.990165
6	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21498.241938	21570.444246
7	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	19806.619297	23887.196079
8	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	24155.361301	20845.707749
9	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	21043.851898	22068.620785
10	GD15	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	23983.470816	22513.504269
1	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	17559.712509	19147.796357
2	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	17380.333935	18685.821701
3	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	18543.273644	18434.191173
4	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	16812.848529	23371.520963
5	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	16776.518097	20458.393416
6	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	15343.168783	19433.336328
7	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	16511.824283	19668.213412
8	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	16077.330001	19354.639375
9	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	17457.008122	20903.320948
10	GD16	0.649170	0.000000	2.143930	0.000000	0.000000	0.237898	19952.614320	19999.003717
