rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	17980.298074	24838.260315
2	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	18427.947808	32724.744251
3	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	19572.045276	26825.896693
4	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	16583.921708	25052.363818
5	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	17963.537974	28063.610593
6	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	17319.496964	28966.043975
7	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	18465.499788	24386.301226
8	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	18145.614420	23917.726478
9	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	17337.336439	27319.436286
10	AG111	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	19895.003187	28921.276777
1	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	19101.980914	49095.292098
2	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	18874.072112	40281.699440
3	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	19005.617751	48496.388030
4	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	20769.515846	37594.722391
5	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	17925.424139	47535.207147
6	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	19902.612348	46738.903442
7	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	18524.995720	48974.567950
8	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	19088.395958	36023.828359
9	AG112	0.780572	0.000000	2.645192	0.000000	0.000000	-0.804613	20237.551566	37320.840481
