rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017855	-0.058637
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.188182	-0.030136
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.293673	-0.001714
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.097825	0.002409
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000312	-0.006570
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092221	-0.002251
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.608109	-0.006588
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.058926	-0.016178
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.161745	0.050086
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.255832	-0.085238
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.243976	0.000903
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.240721	-0.055868
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.680156	0.011721
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307420	0.012066
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.445344	0.040319
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.243194	-0.036919
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.425877	-0.000359
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196279	0.006670
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.145235	-0.008192
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.331320	0.027560
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118146	0.029796
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.216995	-0.031980
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149248	-0.103667
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.094568	-0.020711
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327002	-0.039458
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195544	-0.017234
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.082747	-0.016863
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286981	0.070600
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.238488	0.033375
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.272881	0.016817
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.367600	0.030105
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030737	0.031029
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.394652	0.008250
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174165	0.065444
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.352404	-0.016119
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.140481	0.087413
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.602608	0.064715
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173859	0.104501
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.518629	-0.005914
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.445485	0.039822
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.147932	0.058841
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.188374	0.058185
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.180584	-0.063162
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.129094	-0.063509
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.586119	-0.056768
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.192339	-0.005910
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.071535	0.052133
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.075897	0.010564
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.247235	0.036063
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.069638	-0.024587
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.491582	-0.013261
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.169311	0.064765
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.230275	-0.046122
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.105022	-0.031555
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061949	-0.018207
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.120594	0.001764
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.073118	0.018110
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.263590	0.056454
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038789	0.016778
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.411266	-0.021224
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015333	0.039000
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.480970	-0.029700
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.228881	-0.015155
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.710168	0.021132
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.604207	-0.016447
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.329599	-0.023353
7	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.454859	0.088835
8	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.496210	-0.051235
9	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102155	-0.108707
10	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.334008	0.034567
