rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	24071.84021864265378099	25770.75802681024288177	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03369776852512985	0.02426925945890446
2	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	17955.24011944851736189	24127.48491799974362948	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.25946293214546756	-0.04161953615735925
3	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	20390.76114194541514735	20970.20200457315877429	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.13226302006901847	-0.18186870196617555
4	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23723.90203450243643601	22126.71985737510476611	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01913813144735066	-0.12818525832090266
5	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	23571.79599016337306239	23881.44038192961670575	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01270597904830062	-0.05186957565384809
6	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	22194.05983564272173680	19921.34336151962634176	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.04752025503434432	-0.23317949215054767
7	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	21166.91507629297848325	23520.98613724856841145	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.09490558008743122	-0.06707813010486774
8	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	22059.85717094296342111	24425.59420090644198353	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.05358539390450545	-0.02933965465715005
9	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	22776.27389742114246474	22315.28856371206347831	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.02162555753010942	-0.11969915048430124
10	1	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	21290.08811787231024937	27452.59240697919813101	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	-0.08910331530766591	0.08748942469151011
