rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	119264.837668	54291.534812
2	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	136979.206902	57094.019732
3	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	120802.591571	77552.208054
4	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	90564.249036	63223.441877
5	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	146953.593674	64248.058693
6	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	108044.442778	54834.305288
7	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	122254.503964	66751.242475
8	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	143026.016691	67324.138159
9	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	147884.559703	80902.159444
10	AG111	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	153390.565051	71046.669626
1	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	144087.139380	102837.643740
2	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	163444.857146	123816.580550
3	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	169028.344428	97505.109008
4	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	240221.256812	123918.298020
5	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	150666.472477	165220.425898
6	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	140850.407765	124625.310788
7	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	211301.485923	142259.536906
8	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	159054.838362	105291.256895
9	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	160614.291254	121077.882929
10	AG112	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	179510.303459	126605.194795
1	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	189170.838661	64051.105981
2	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	89673.694456	81637.773500
3	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	111036.964460	80690.422000
4	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	72699.632625	87996.934457
5	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	108064.061834	75404.538052
6	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	118752.620169	88595.704347
7	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	102344.614712	66303.267917
8	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	109000.450796	66435.821380
9	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	96744.390644	84085.157844
10	AG139	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	157091.889193	102135.332336
1	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	206213.581869	135512.418946
2	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	156576.254217	117752.812912
3	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	187183.588866	133031.836928
4	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	188326.768091	100545.666837
5	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	143270.119421	111941.884076
6	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	202008.021844	112702.016370
7	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	161050.911478	113306.370584
8	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	195752.893791	103929.510080
9	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	237672.087734	107536.217620
10	AG142	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	154556.220608	121936.636878
1	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	133665.404571	169488.366806
2	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	143457.099900	145140.808583
3	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	158459.296919	138885.394167
4	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	124686.443268	120056.819343
5	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	130019.175602	122710.640224
6	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	130956.253866	112190.214433
7	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	147916.941392	112154.434613
8	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	129198.684572	153046.646943
9	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	215541.032066	125333.170388
10	GD14	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	107655.553117	136673.914929
1	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	154030.361574	79147.309346
2	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	129078.771376	76077.139557
3	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	146342.621002	74567.944997
4	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	172921.045168	111818.808961
5	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	130012.919178	84046.823079
6	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	89717.304618	77240.986048
7	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	127886.356818	81028.306869
8	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	164238.067544	87898.992323
9	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	129228.572960	74308.960787
10	GD15	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	199828.273174	95213.203517
1	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	114930.487877	54600.832139
2	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	69726.922343	60265.859707
3	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	78460.625111	58860.405044
4	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	99892.938788	55352.226216
5	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	116623.148261	51709.218198
6	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	128327.600183	70027.704847
7	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	108254.950220	55171.151377
8	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	101180.161066	57246.357409
9	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	83875.120800	57109.584550
10	GD16	-0.020848	0.000000	1.726358	0.000000	0.000000	-0.650862	63199.190298	61157.240226
