rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	1	0.64902981245132996	-0.58736376091550779	4.33109090665100549	0.00000000000000000	0.00115656299484748	0.25485155862498865	24471.00990646873106016	24886.64153126799646998	0.02312601642199830	-0.58736376091550779	0.00000000000000000	0.00000000000000000	0.00115656299484748	0.00000000000000000	0.02033354244024466	0.00759297617232413
2	1	0.64687329475914834	-0.25363040994972458	4.33109090665100549	0.00000000000000000	0.13319563244430699	0.25485155862498865	23079.35354707549777231	24775.46145389287266880	0.02096949872981668	-0.25363040994972458	0.00000000000000000	0.00000000000000000	0.13319563244430699	0.00000000000000000	-0.03821717334893471	0.00311550717949416
3	1	0.67275773786331894	-0.25948338883310634	4.33109090665100549	0.00000000000000000	0.06407319903492870	0.25485155862498865	23792.05502208107645856	24518.22977713143336587	0.04685394183398728	-0.25948338883310634	0.00000000000000000	0.00000000000000000	0.06407319903492870	0.00000000000000000	-0.00780390302644385	-0.00732128524897568
4	1	0.59093180166796988	0.00364154562338338	4.33109090665100549	0.00000000000000000	0.08992052022130699	0.25485155862498865	24322.19266177694225917	24979.93536150656291284	-0.03497199436136178	0.00364154562338338	0.00000000000000000	0.00000000000000000	0.08992052022130699	0.00000000000000000	0.01423360645300775	0.01133471843335343
5	1	0.66496225648395713	-0.36879719273668088	4.33109090665100549	0.00000000000000000	0.15033071129197684	0.25485155862498865	22927.47854067823209334	24100.29508342490225914	0.03905846045462547	-0.36879719273668088	0.00000000000000000	0.00000000000000000	0.15033071129197684	0.00000000000000000	-0.04481947788485741	-0.02451411410373971
6	1	0.60894055217160992	-0.42714807416214334	4.33109090665100549	0.00000000000000000	0.08185043907867171	0.25485155862498865	23759.24300938257147209	24768.61237022677596542	-0.01696324385772174	-0.42714807416214334	0.00000000000000000	0.00000000000000000	0.08185043907867171	0.00000000000000000	-0.00918397125863279	0.00283902270088454
7	1	0.62435642177807937	-0.47455857537169988	4.33109090665100549	0.00000000000000000	0.04485982753568291	0.25485155862498865	24465.12191586178596481	23472.19827313575660810	-0.00154737425125229	-0.47455857537169988	0.00000000000000000	0.00000000000000000	0.04485982753568291	0.00000000000000000	0.02009290263419139	-0.05092153006647138
8	1	0.59768974799628938	-0.27906656438395427	4.33109090665100549	0.00000000000000000	0.06557918706320343	0.25485155862498865	23531.06574396265932592	24146.64386592127630138	-0.02821404803304228	-0.27906656438395427	0.00000000000000000	0.00000000000000000	0.06557918706320343	0.00000000000000000	-0.01883411067140628	-0.02259279856482443
9	1	0.59071363937601395	-0.21128610435457312	4.33109090665100549	0.00000000000000000	0.04876098821287458	0.25485155862498865	23456.27083371805565548	25393.20140968400301063	-0.03519015665331771	-0.21128610435457312	0.00000000000000000	0.00000000000000000	0.04876098821287458	0.00000000000000000	-0.02201773327552203	0.02774327850991476
10	1	0.61435091800368868	-0.45806377900939443	4.33109090665100549	0.00000000000000000	0.14909005969322198	0.25485155862498865	23837.58626650521546253	24596.78126295397305512	-0.01155287802564298	-0.45806377900939443	0.00000000000000000	0.00000000000000000	0.14909005969322198	0.00000000000000000	-0.00589201551011698	-0.00412260724262659
1	2	0.73361323593703887	0.19210555308233374	4.33109090665100549	0.00000000000000000	-0.07264146821851061	0.25485155862498865	24504.74051633545241202	25026.93969353024294833	0.10770943990770721	0.19210555308233374	0.00000000000000000	0.00000000000000000	-0.07264146821851061	0.00000000000000000	0.02171098392541815	0.01321463377759535
2	2	0.75133544973520294	-0.17272805060607188	4.33109090665100549	0.00000000000000000	-0.05780439863738702	0.25485155862498865	23962.57227626172971213	24479.94839564775975305	0.12543165370587128	-0.17272805060607188	0.00000000000000000	0.00000000000000000	-0.05780439863738702	0.00000000000000000	-0.00066248078010034	-0.00888384902992634
3	2	0.74183700015569765	0.23499083371358001	4.33109090665100549	0.00000000000000000	0.03272495172278636	0.25485155862498865	24423.64329522289699526	25137.24446733402146492	0.11593320412636599	0.23499083371358001	0.00000000000000000	0.00000000000000000	0.03272495172278636	0.00000000000000000	0.01839604527187788	0.01761239099924161
