rhoS_pop	0.00213	nan	-0.00013	0.00001	0.00004	0.00047	-0.00007	nan	-0.00003	-0.00001	-0.00000
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.00013	nan	0.00366	0.00000	0.00084	0.00067	-0.00035	nan	0.00003	0.00006	-0.00011
omega_rhoS	0.00001	nan	0.00000	0.00110	-0.00007	-0.00026	-0.00002	nan	0.00000	-0.00001	0.00001
omega_deltaSC	0.00004	nan	0.00084	-0.00007	0.02541	0.00217	0.00016	nan	0.00001	0.00027	-0.00270
omega_rhoC	0.00047	nan	0.00067	-0.00026	0.00217	0.09453	-0.01351	nan	-0.00013	0.00052	-0.00014
omega_deltaCB	-0.00007	nan	-0.00035	-0.00002	0.00016	-0.01351	0.00419	nan	0.00006	-0.00011	-0.00032
omega_rhoB	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b1	-0.00003	nan	0.00003	0.00000	0.00001	-0.00013	0.00006	nan	0.00046	0.00000	-0.00001
b2	-0.00001	nan	0.00006	-0.00001	0.00027	0.00052	-0.00011	nan	0.00000	0.00054	-0.00002
b3	-0.00000	nan	-0.00011	0.00001	-0.00270	-0.00014	-0.00032	nan	-0.00001	-0.00002	0.00224
