rhoS_pop	1.00000	nan	nan	0.00342	0.00351	0.00664	-0.02781	-0.00724	-0.00025
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_rhoS	0.00342	nan	nan	1.00000	-0.00873	-0.04281	0.00214	-0.01537	0.00904
omega_deltaSC	0.00351	nan	nan	-0.00873	1.00000	-0.01900	0.01081	0.08824	-0.41211
omega_deltaCB	0.00664	nan	nan	-0.04281	-0.01900	1.00000	0.01665	-0.01275	-0.08903
b1	-0.02781	nan	nan	0.00214	0.01081	0.01665	1.00000	0.00487	-0.00193
b2	-0.00724	nan	nan	-0.01537	0.08824	-0.01275	0.00487	1.00000	-0.03341
b3	-0.00025	nan	nan	0.00904	-0.41211	-0.08903	-0.00193	-0.03341	1.00000
