rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	51589.452159	73780.174408
2	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	77234.107909	112279.818460
3	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	68052.119212	81675.904961
4	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	64018.120906	101899.820182
5	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	47252.078333	67544.568863
6	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	60596.010979	80775.055110
7	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	61512.299907	82493.294319
8	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	78367.719428	99652.988369
9	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	66215.133124	82141.027793
10	AG111	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	59928.307450	104129.571185
1	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	97972.198357	165762.756205
2	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	83906.108726	214755.639158
3	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	75782.591960	156529.685343
4	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	73133.052564	121181.172323
5	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	89610.455820	123955.766096
6	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	77113.947975	130966.947789
7	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	102047.533724	145302.198670
8	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	100788.960121	149757.842595
9	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	87891.099088	151071.145584
10	AG112	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	113863.393231	170712.297189
1	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	44414.801426	99907.774495
2	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	68529.409544	89694.004301
3	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	61400.771858	72068.272366
4	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	52472.484817	104226.536594
5	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	49980.184322	100818.917147
6	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	44701.920346	105406.442693
7	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	89224.317560	94005.530207
8	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	56759.684020	80127.770362
9	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	64965.365595	97349.108522
10	AG139	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	36057.985191	79918.455537
1	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	137556.706449	114775.206041
2	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	81209.570391	166596.060159
3	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	116820.238513	162691.850202
4	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	118165.942346	121030.513486
5	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	91607.016628	165866.745070
6	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	80249.609224	95911.751333
7	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	123061.559569	110878.576183
8	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	107552.998948	147946.118326
9	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	91925.457232	113748.928553
10	AG142	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	101277.766435	121808.352636
1	GD14	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	71000.405278	175640.935149
2	GD14	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	68552.521569	156919.390993
3	GD14	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	85138.332223	153067.434180
4	GD14	0.194551	0.000000	6.185324	0.000000	0.000000	-0.913665	70247.092891	165691.746670
