rhoS_pop	1.00000	nan	-0.05225	-0.00353	0.00806	0.01691	-0.03111	0.03099	-0.02130	-0.01221	0.00243
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.05225	nan	1.00000	0.00388	-0.02175	-0.09727	0.29166	-0.32976	-0.03552	0.02675	-0.01757
omega_rhoS	-0.00353	nan	0.00388	1.00000	-0.03636	0.04250	-0.01035	-0.01778	0.00758	-0.01302	0.02407
omega_deltaSC	0.00806	nan	-0.02175	-0.03636	1.00000	-0.30799	-0.11205	0.25403	-0.02692	0.04348	-0.42450
omega_rhoC	0.01691	nan	-0.09727	0.04250	-0.30799	1.00000	0.06399	-0.26186	0.13617	-0.07702	0.24767
omega_deltaCB	-0.03111	nan	0.29166	-0.01035	-0.11205	0.06399	1.00000	-0.88287	-0.03800	0.01030	-0.03647
omega_rhoB	0.03099	nan	-0.32976	-0.01778	0.25403	-0.26186	-0.88287	1.00000	0.01752	-0.00708	-0.08233
b1	-0.02130	nan	-0.03552	0.00758	-0.02692	0.13617	-0.03800	0.01752	1.00000	0.00142	0.03219
b2	-0.01221	nan	0.02675	-0.01302	0.04348	-0.07702	0.01030	-0.00708	0.00142	1.00000	-0.02633
b3	0.00243	nan	-0.01757	0.02407	-0.42450	0.24767	-0.03647	-0.08233	0.03219	-0.02633	1.00000
