rhoS_pop	0.00203	nan	nan	0.00001	-0.00021	-0.00038	-0.00018	-0.00003	0.00001	0.00005
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_rhoS	0.00001	nan	nan	0.00107	0.00017	0.00011	0.00006	-0.00001	-0.00001	0.00000
omega_deltaSC	-0.00021	nan	nan	0.00017	0.16226	0.13993	0.07480	-0.00000	-0.00110	-0.01444
omega_rhoC	-0.00038	nan	nan	0.00011	0.13993	0.36928	0.10081	0.00005	-0.00114	-0.02379
omega_deltaCB	-0.00018	nan	nan	0.00006	0.07480	0.10081	0.16337	0.00002	-0.00069	-0.01308
b1	-0.00003	nan	nan	-0.00001	-0.00000	0.00005	0.00002	0.00049	0.00000	-0.00002
b2	0.00001	nan	nan	-0.00001	-0.00110	-0.00114	-0.00069	0.00000	0.00065	-0.00002
b3	0.00005	nan	nan	0.00000	-0.01444	-0.02379	-0.01308	-0.00002	-0.00002	0.00803
