rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	1	0.62751430134349351	-0.45350409606369613	4.11361151287654536	0.00000000000000000	0.09598805982559018	0.26388896154823338	0.01525890137087960	-0.45350409606369613	0.00000000000000000	0.00000000000000000	0.09598805982559018	0.00000000000000000
2	1	0.56951074552639058	-0.52207473508111502	4.11361151287654536	0.00000000000000000	0.01198830914894372	0.26388896154823338	-0.04274465444622333	-0.52207473508111502	0.00000000000000000	0.00000000000000000	0.01198830914894372	0.00000000000000000
3	1	0.60173964903942156	-0.09756270807441868	4.11361151287654536	0.00000000000000000	0.04338812245915261	0.26388896154823338	-0.01051575093319235	-0.09756270807441868	0.00000000000000000	0.00000000000000000	0.04338812245915261	0.00000000000000000
4	1	0.62055396334504997	-0.38309285926987774	4.11361151287654536	0.00000000000000000	0.07099346972674182	0.26388896154823338	0.00829856337243606	-0.38309285926987774	0.00000000000000000	0.00000000000000000	0.07099346972674182	0.00000000000000000
5	1	0.55599161865866431	-0.17282563638960460	4.11361151287654536	0.00000000000000000	0.01861837674935491	0.26388896154823338	-0.05626378131394960	-0.17282563638960460	0.00000000000000000	0.00000000000000000	0.01861837674935491	0.00000000000000000
6	1	0.61833914405263868	-0.33634084234730566	4.11361151287654536	0.00000000000000000	0.01852327635558629	0.26388896154823338	0.00608374408002477	-0.33634084234730566	0.00000000000000000	0.00000000000000000	0.01852327635558629	0.00000000000000000
7	1	0.63502433314991780	-0.32622379846773175	4.11361151287654536	0.00000000000000000	0.03990290443976439	0.26388896154823338	0.02276893317730388	-0.32622379846773175	0.00000000000000000	0.00000000000000000	0.03990290443976439	0.00000000000000000
8	1	0.62794448103741640	-0.58498519057552634	4.11361151287654536	0.00000000000000000	0.13149766021403447	0.26388896154823338	0.01568908106480249	-0.58498519057552634	0.00000000000000000	0.00000000000000000	0.13149766021403447	0.00000000000000000
9	1	0.58294417279983657	-0.26077042401466888	4.11361151287654536	0.00000000000000000	0.03122968507176797	0.26388896154823338	-0.02931122717277734	-0.26077042401466888	0.00000000000000000	0.00000000000000000	0.03122968507176797	0.00000000000000000
10	1	0.57914892164542764	-0.59782199000293457	4.11361151287654536	0.00000000000000000	-0.00733280100932611	0.26388896154823338	-0.03310647832718627	-0.59782199000293457	0.00000000000000000	0.00000000000000000	-0.00733280100932611	0.00000000000000000
1	2	0.81884404665544008	0.37989422982853233	4.11361151287654536	0.00000000000000000	0.05116686781199808	0.26388896154823338	0.20658864668282617	0.37989422982853233	0.00000000000000000	0.00000000000000000	0.05116686781199808	0.00000000000000000
2	2	0.77623223209356418	-0.03769121015920718	4.11361151287654536	0.00000000000000000	-0.09587595872553913	0.26388896154823338	0.16397683212095027	-0.03769121015920718	0.00000000000000000	0.00000000000000000	-0.09587595872553913	0.00000000000000000
3	2	0.76612324881461935	0.13395262664530108	4.11361151287654536	0.00000000000000000	0.02532932375980289	0.26388896154823338	0.15386784884200544	0.13395262664530108	0.00000000000000000	0.00000000000000000	0.02532932375980289	0.00000000000000000
4	2	0.66881395140198141	-0.08933186376090090	4.11361151287654536	0.00000000000000000	-0.13945267205205614	0.26388896154823338	0.05655855142936750	-0.08933186376090090	0.00000000000000000	0.00000000000000000	-0.13945267205205614	0.00000000000000000
5	2	0.78891259309803530	0.09051474781337893	4.11361151287654536	0.00000000000000000	0.01011451676698089	0.26388896154823338	0.17665719312542139	0.09051474781337893	0.00000000000000000	0.00000000000000000	0.01011451676698089	0.00000000000000000
6	2	0.70202029445466341	0.11116284276279570	4.11361151287654536	0.00000000000000000	-0.09058341462688352	0.26388896154823338	0.08976489448204950	0.11116284276279570	0.00000000000000000	0.00000000000000000	-0.09058341462688352	0.00000000000000000
7	2	0.77889568728684488	-0.23787875860589017	4.11361151287654536	0.00000000000000000	-0.05995138152405124	0.26388896154823338	0.16664028731423097	-0.23787875860589017	0.00000000000000000	0.00000000000000000	-0.05995138152405124	0.00000000000000000
8	2	0.76223180540447399	0.13526239431370907	4.11361151287654536	0.00000000000000000	0.02109719394746284	0.26388896154823338	0.14997640543186008	0.13526239431370907	0.00000000000000000	0.00000000000000000	0.02109719394746284	0.00000000000000000
9	2	0.73541271999407398	0.23667807569657279	4.11361151287654536	0.00000000000000000	-0.03017609882034687	0.26388896154823338	0.12315732002146007	0.23667807569657279	0.00000000000000000	0.00000000000000000	-0.03017609882034687	0.00000000000000000
10	2	0.74077666295100009	-0.18041157767661470	4.11361151287654536	0.00000000000000000	-0.07901880004922841	0.26388896154823338	0.12852126297838617	-0.18041157767661470	0.00000000000000000	0.00000000000000000	-0.07901880004922841	0.00000000000000000
1	3	0.59647975111366447	-0.15801060682362134	4.11361151287654536	0.00000000000000000	-0.03307698066234762	0.26388896154823338	-0.01577564885894944	-0.15801060682362134	0.00000000000000000	0.00000000000000000	-0.03307698066234762	0.00000000000000000
2	3	0.57845802388917933	0.25595017946229587	4.11361151287654536	0.00000000000000000	0.04612691909466032	0.26388896154823338	-0.03379737608343458	0.25595017946229587	0.00000000000000000	0.00000000000000000	0.04612691909466032	0.00000000000000000
3	3	0.56993010963138602	0.22234450588115789	4.11361151287654536	0.00000000000000000	0.08373038860810304	0.26388896154823338	-0.04232529034122789	0.22234450588115789	0.00000000000000000	0.00000000000000000	0.08373038860810304	0.00000000000000000
4	3	0.51857257220221165	0.12588112301434626	4.11361151287654536	0.00000000000000000	0.03714725804236961	0.26388896154823338	-0.09368282777040227	0.12588112301434626	0.00000000000000000	0.00000000000000000	0.03714725804236961	0.00000000000000000
