rhoS_pop	1.00000	nan	nan	0.00064	0.01310	0.01289	-0.02343	-0.00635	-0.00584
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_rhoS	0.00064	nan	nan	1.00000	-0.01410	-0.04616	0.00939	-0.01089	0.01221
omega_deltaSC	0.01310	nan	nan	-0.01410	1.00000	0.01110	-0.00185	0.07534	-0.32996
omega_deltaCB	0.01289	nan	nan	-0.04616	0.01110	1.00000	0.00509	-0.01009	-0.13052
b1	-0.02343	nan	nan	0.00939	-0.00185	0.00509	1.00000	0.00790	0.00407
b2	-0.00635	nan	nan	-0.01089	0.07534	-0.01009	0.00790	1.00000	-0.02361
b3	-0.00584	nan	nan	0.01221	-0.32996	-0.13052	0.00407	-0.02361	1.00000
