rhoS_pop	0.00212	nan	-0.00005	0.00001	-0.00020	-0.00004	0.00001	-0.00001	-0.00004	0.00000
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.00005	nan	0.00522	0.00002	0.01306	-0.00253	-0.00091	-0.00003	-0.00033	0.00048
omega_rhoS	0.00001	nan	0.00002	0.00112	0.00006	-0.00012	-0.00005	-0.00000	-0.00003	0.00002
omega_deltaSC	-0.00020	nan	0.01306	0.00006	0.33073	-0.06794	-0.01040	-0.00064	-0.00275	0.00747
omega_deltaCB	-0.00004	nan	-0.00253	-0.00012	-0.06794	0.05680	0.00252	0.00016	0.00147	-0.00420
omega_rhoB	0.00001	nan	-0.00091	-0.00005	-0.01040	0.00252	0.00387	0.00003	-0.00002	-0.00063
b1	-0.00001	nan	-0.00003	-0.00000	-0.00064	0.00016	0.00003	0.00047	0.00001	-0.00003
b2	-0.00004	nan	-0.00033	-0.00003	-0.00275	0.00147	-0.00002	0.00001	0.00118	-0.00014
b3	0.00000	nan	0.00048	0.00002	0.00747	-0.00420	-0.00063	-0.00003	-0.00014	0.00249
