rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.122906	-0.151040
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014166	-0.214975
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.058003	-0.098663
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024449	-0.094259
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.190945	-0.127967
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017504	-0.040437
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.053864	-0.146671
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.157182	-0.239129
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.063278	-0.170422
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.126571	-0.127231
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.335811	0.204078
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134919	0.172158
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262663	0.152528
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242625	0.353037
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.340401	0.293832
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.214921	0.317365
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.379069	0.301391
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.276717	0.366406
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.267299	0.062921
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300365	0.227229
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020617	-0.088125
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.045211	-0.130593
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.039596	0.078492
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027223	-0.150485
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.139736	0.017775
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018800	-0.032187
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.076569	-0.166475
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.124756	-0.130415
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.164952	-0.123666
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.124516	-0.170907
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.354302	0.425679
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.203823	0.170546
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.305380	0.133152
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.182008	0.256529
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.222723	0.333207
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.322067	0.127306
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.313651	0.180073
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.412651	0.144707
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.259674	0.207583
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.420984	0.080206
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.147572	0.261212
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.032034	0.313588
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.122698	0.207083
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102039	0.280014
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102440	0.249292
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.041140	0.221194
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.077733	0.261261
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.069296	0.190988
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025427	0.157842
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.147158	0.253726
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.100678	0.020954
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.053688	-0.076333
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002067	-0.099102
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.230139	-0.052143
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.054209	-0.052489
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.159066	-0.144171
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056625	-0.118887
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030553	-0.288125
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014057	-0.100535
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036103	-0.168554
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.386106	-0.206333
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.416982	-0.440609
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.508747	-0.233804
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.099628	-0.361579
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.336902	-0.134483
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.173368	-0.189959
