rhoS_pop	1.00000	nan	-0.10687	-0.00460	-0.07248	nan	0.08016	-0.09761	-0.04863	-0.01737	0.04040
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.10687	nan	1.00000	0.06457	0.77635	nan	-0.77723	0.95084	0.22559	0.08576	-0.41563
omega_rhoS	-0.00460	nan	0.06457	1.00000	0.04481	nan	-0.07823	0.06795	0.01373	-0.00732	-0.01811
omega_deltaSC	-0.07248	nan	0.77635	0.04481	1.00000	nan	-0.65348	0.78136	0.18051	0.10002	-0.51721
omega_rhoC	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_deltaCB	0.08016	nan	-0.77723	-0.07823	-0.65348	nan	1.00000	-0.84671	-0.18929	-0.07974	0.27825
omega_rhoB	-0.09761	nan	0.95084	0.06795	0.78136	nan	-0.84671	1.00000	0.22728	0.08680	-0.39810
b1	-0.04863	nan	0.22559	0.01373	0.18051	nan	-0.18929	0.22728	1.00000	0.02605	-0.09831
b2	-0.01737	nan	0.08576	-0.00732	0.10002	nan	-0.07974	0.08680	0.02605	1.00000	-0.05072
b3	0.04040	nan	-0.41563	-0.01811	-0.51721	nan	0.27825	-0.39810	-0.09831	-0.05072	1.00000
