rhoS_pop	1.00000	0.03762	-0.07973	-0.06779	-0.03091	0.02086	0.05340	0.08663	-0.05769	nan	-0.04565	-0.00647	-0.04453
deltaSC_pop	0.03762	1.00000	-0.46293	-0.45011	-0.41693	0.07481	0.12868	0.42818	-0.30557	nan	-0.09063	-0.08346	-0.25391
rhoC_pop	-0.07973	-0.46293	1.00000	0.97689	0.49002	-0.14791	-0.45389	-0.94137	0.64457	nan	0.17315	0.06968	0.55001
deltaCB_pop	-0.06779	-0.45011	0.97689	1.00000	0.62021	-0.14199	-0.44435	-0.90466	0.65848	nan	0.16484	0.09424	0.54358
rhoB_pop	-0.03091	-0.41693	0.49002	0.62021	1.00000	-0.06942	-0.15302	-0.39088	0.41173	nan	0.09043	0.12316	0.25396
omega_rhoS	0.02086	0.07481	-0.14791	-0.14199	-0.06942	1.00000	0.06273	0.14455	-0.11621	nan	-0.03542	-0.02138	-0.07637
omega_deltaSC	0.05340	0.12868	-0.45389	-0.44435	-0.15302	0.06273	1.00000	0.49258	-0.32317	nan	-0.09898	0.01310	-0.49248
omega_rhoC	0.08663	0.42818	-0.94137	-0.90466	-0.39088	0.14455	0.49258	1.00000	-0.65699	nan	-0.17818	-0.04774	-0.53210
omega_deltaCB	-0.05769	-0.30557	0.64457	0.65848	0.41173	-0.11621	-0.32317	-0.65699	1.00000	nan	0.12129	0.01874	0.28649
omega_rhoB	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b1	-0.04565	-0.09063	0.17315	0.16484	0.09043	-0.03542	-0.09898	-0.17818	0.12129	nan	1.00000	0.01285	0.09959
b2	-0.00647	-0.08346	0.06968	0.09424	0.12316	-0.02138	0.01310	-0.04774	0.01874	nan	0.01285	1.00000	0.04789
b3	-0.04453	-0.25391	0.55001	0.54358	0.25396	-0.07637	-0.49248	-0.53210	0.28649	nan	0.09959	0.04789	1.00000
