rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015386	-0.061491
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014719	-0.314039
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001336	-0.088958
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001747	-0.158175
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007373	-0.106757
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009275	-0.097426
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008020	-0.248476
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021850	-0.109651
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035948	-0.101781
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023422	-0.112817
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002216	0.134651
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012563	0.130296
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025383	0.182868
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016113	0.157907
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006237	0.018667
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060068	0.030525
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009787	0.122161
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025825	0.136844
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011072	0.076454
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007765	0.156664
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020184	-0.034107
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005185	0.010689
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004678	-0.004084
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.039058	-0.069808
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021188	-0.063933
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025214	0.119135
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014220	-0.147819
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018538	0.066452
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012269	-0.078955
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021716	-0.081772
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017003	0.208400
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015271	0.151617
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017274	0.213442
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.008767	0.107374
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011677	0.079344
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002116	0.163510
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.041297	0.253351
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010889	-0.019867
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012168	0.324334
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001056	0.050456
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.030283	0.275407
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008160	0.170325
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021295	0.227130
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007226	0.194587
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006612	0.076329
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.034472	0.167149
