rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.497034	0.141002
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.389618	0.053219
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.273516	0.024624
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.116196	0.048334
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.227967	0.023878
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.315030	-0.018898
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.290334	-0.113191
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.326852	-0.061450
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.342518	0.051658
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.352197	-0.049975
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.138808	0.005440
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.131085	-0.008986
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004582	-0.040803
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.274202	0.102740
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.219486	-0.074970
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.160694	-0.072942
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.211395	0.105342
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108285	0.027796
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.051786	0.016421
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127994	0.020006
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.355171	0.065649
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.264926	0.035857
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.431634	-0.081288
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.107748	0.051685
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.425208	-0.048103
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013774	-0.001780
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.131797	-0.135779
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010210	-0.040433
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004298	0.004075
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013741	-0.111646
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.575133	0.379802
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.630318	0.176570
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.332751	0.270484
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.244995	0.193293
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.298025	0.143537
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.332821	0.060065
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.582581	0.113430
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.131407	0.149373
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059401	0.271500
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.427385	0.091811
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.132179	-0.000473
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.205434	-0.058752
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.155665	0.066116
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014496	-0.189343
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.091625	-0.066332
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.198941	0.205101
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056433	0.106313
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.210651	-0.098459
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.220367	0.085588
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.088900	-0.010697
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.065194	0.053935
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014172	0.048939
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.032922	0.059525
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.196009	-0.102487
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113122	0.099046
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.229930	0.018793
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.151844	-0.132856
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.040519	-0.152816
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.406743	0.058293
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.078033	-0.210235
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.118033	0.015846
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.373680	-0.048715
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.405641	0.097672
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.439328	0.015635
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.409982	-0.163632
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.227003	-0.225445
7	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.260466	0.101542
8	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.170216	-0.101726
9	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.259825	0.179502
10	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.187973	0.178500
