rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	1	0.59605241589371960	-0.18398835644518477	3.55438702071337165	0.05339502192343812	0.04744524664386366	0.22274511284561724	-0.01760494224130760	-0.18398835644518477	0.00000000000000000	0.05339502192343812	0.04744524664386366	-0.01847607387215633
2	1	0.58499335130767594	-0.21050168872446731	3.55438702071337165	-0.14567566658579764	0.02965733701536719	0.25408705259290759	-0.02866400682735126	-0.21050168872446731	0.00000000000000000	-0.14567566658579764	0.02965733701536719	0.01286586587513402
3	1	0.56494620201712575	-0.50148130277815350	3.55438702071337165	-0.08891778538239070	0.02358518903027704	0.24130800803617497	-0.04871115611790144	-0.50148130277815350	0.00000000000000000	-0.08891778538239070	0.02358518903027704	0.00008682131840140
4	1	0.56348485426504835	-0.27334316436358230	3.55438702071337165	-0.05482473887829453	0.02862254849188212	0.29748920703667786	-0.05017250386997885	-0.27334316436358230	0.00000000000000000	-0.05482473887829453	0.02862254849188212	0.05626802031890429
5	1	0.59411520403711693	-0.43631507355138011	3.55438702071337165	-0.21524419515988663	-0.04382648508985505	0.28876730144685170	-0.01954215409791027	-0.43631507355138011	0.00000000000000000	-0.21524419515988663	-0.04382648508985505	0.04754611472907813
6	1	0.58671652690177967	-0.34366523884964090	3.55438702071337165	-0.09763342970795477	-0.05141875243691785	0.22701337167502408	-0.02694083123324753	-0.34366523884964090	0.00000000000000000	-0.09763342970795477	-0.05141875243691785	-0.01420781504274948
7	1	0.57345787058157205	-0.52511939069608005	3.55438702071337165	-0.02425000072932887	0.05165129237151356	0.24541656194724659	-0.04019948755345515	-0.52511939069608005	0.00000000000000000	-0.02425000072932887	0.05165129237151356	0.00419537522947303
8	1	0.56900857514557079	0.03126782356807339	3.55438702071337165	-0.02244563783442060	0.12222150033302696	0.22649645244530303	-0.04464878298945640	0.03126782356807339	0.00000000000000000	-0.02244563783442060	0.12222150033302696	-0.01472473427247054
9	1	0.61282342797280798	-0.50695911297931451	3.55438702071337165	0.11261524789321919	0.01062735148416570	0.26421526182858462	-0.00083393016221922	-0.50695911297931451	0.00000000000000000	0.11261524789321919	0.01062735148416570	0.02299407511081106
10	1	0.60165609437046619	-0.58001055836458715	3.55438702071337165	-0.15524221509636454	-0.00083886028303576	0.26306375084215794	-0.01200126376456101	-0.58001055836458715	0.00000000000000000	-0.15524221509636454	-0.00083886028303576	0.02184256412438437
1	2	0.74076252919234187	0.61732424530702346	3.55438702071337165	0.04029424708710014	-0.08204481462243893	0.21035832555431017	0.12710517105731467	0.61732424530702346	0.00000000000000000	0.04029424708710014	-0.08204481462243893	-0.03086286116346340
2	2	0.74801137612956459	0.06938003296632375	3.55438702071337165	0.00691669003500005	-0.06458198649478723	0.24859820723708875	0.13435401799453739	0.06938003296632375	0.00000000000000000	0.00691669003500005	-0.06458198649478723	0.00737702051931519
3	2	0.77315984075157906	-0.01429026302052018	3.55438702071337165	-0.08606351229102571	-0.00375769050406952	0.26499324768326349	0.15950248261655187	-0.01429026302052018	0.00000000000000000	-0.08606351229102571	-0.00375769050406952	0.02377206096548992
4	2	0.72029736275365952	-0.03857683832249943	3.55438702071337165	-0.05804040233446042	-0.12729272278932846	0.26665951716570280	0.10664000461863232	-0.03857683832249943	0.00000000000000000	-0.05804040233446042	-0.12729272278932846	0.02543833044792923
5	2	0.76820604034529671	-0.07292623497891805	3.55438702071337165	-0.03136407745617791	-0.00386130961137535	0.33831005595120262	0.15454868221026952	-0.07292623497891805	0.00000000000000000	-0.03136407745617791	-0.00386130961137535	0.09708886923342905
