rhoS_pop	0.00214	nan	-0.00006	0.00001	-0.00000	nan	-0.00036	0.00103	-0.00004	-0.00001	-0.00001
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.00006	nan	0.00425	-0.00003	0.00171	nan	-0.00175	0.00541	-0.00004	0.00006	-0.00034
omega_rhoS	0.00001	nan	-0.00003	0.00113	-0.00009	nan	0.00002	-0.00020	-0.00000	-0.00001	0.00002
omega_deltaSC	-0.00000	nan	0.00171	-0.00009	0.02206	nan	-0.00040	0.00190	0.00004	0.00031	-0.00292
omega_rhoC	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_deltaCB	-0.00036	nan	-0.00175	0.00002	-0.00040	nan	0.01079	-0.02815	0.00030	-0.00013	0.00028
omega_rhoB	0.00103	nan	0.00541	-0.00020	0.00190	nan	-0.02815	0.08344	-0.00085	0.00029	-0.00143
b1	-0.00004	nan	-0.00004	-0.00000	0.00004	nan	0.00030	-0.00085	0.00047	0.00000	0.00000
b2	-0.00001	nan	0.00006	-0.00001	0.00031	nan	-0.00013	0.00029	0.00000	0.00054	-0.00004
b3	-0.00001	nan	-0.00034	0.00002	-0.00292	nan	0.00028	-0.00143	0.00000	-0.00004	0.00238
