rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21560.490018	22346.804869
2	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	19170.538506	21482.284018
3	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	20567.283977	23681.592712
4	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	19701.348059	22010.759876
5	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22628.992118	23513.077222
6	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21310.345102	19387.110863
7	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	19568.018773	22399.290776
8	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	23090.680831	23213.818626
9	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	23461.274587	22765.938505
10	AG111	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	24031.270968	21697.345658
1	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26739.374527	33488.649178
2	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	35850.958032	33093.899967
3	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	29681.767800	29557.359763
4	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	27945.267156	29920.741907
5	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	25328.518409	31088.639877
6	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26432.955291	30190.533203
7	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	29100.667989	35817.249956
8	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	25249.145009	27867.466416
9	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26959.744873	33663.435343
10	AG112	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	27153.727331	29350.337881
1	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21234.040293	22195.081495
2	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21527.246690	26689.135548
3	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	19786.376408	22716.391614
4	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22327.970860	23850.620455
5	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26308.781355	22315.340976
6	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22184.809222	21461.305096
7	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	20826.291832	21152.109036
8	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21941.947799	21569.799383
9	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	20464.298946	20451.197810
10	AG139	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	19911.159982	21496.307893
1	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	27999.612442	31938.087895
2	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	27576.678673	29520.230551
3	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	29046.408309	32110.885228
4	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	24031.444656	36526.764438
5	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	32062.547077	33429.212712
6	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	25675.893077	31980.427440
7	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	27068.948388	33116.518417
8	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	29483.452269	32093.182282
9	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	28188.293826	31815.695048
10	AG142	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26074.854524	29074.614392
1	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22726.857290	33260.297594
2	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22829.789806	30837.272849
3	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	20683.270348	35099.499684
4	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21561.257490	29941.274417
5	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22198.232237	33814.665509
6	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26259.872913	29432.393355
7	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	24531.909274	31877.374826
8	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	23987.087795	29142.902296
9	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	19055.862299	29915.244703
10	GD14	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22951.834286	32615.542886
1	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22511.828795	20741.409797
2	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21108.391432	22226.156389
3	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	24514.029496	21686.719540
4	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	23190.279000	20679.352780
5	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	20730.002147	22054.753981
6	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22228.567135	21945.211287
7	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	18204.470920	21704.826706
8	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	22113.977583	20295.038720
9	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	23044.417405	21611.166890
10	GD15	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	26663.788684	22875.604388
1	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	20897.311170	19890.421975
2	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	15041.164737	21025.616513
3	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	17031.152304	17148.446596
4	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	18199.228612	16625.206809
5	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	16639.025357	18820.210341
6	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	16900.894668	20359.222290
7	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	18034.541193	17869.059003
8	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	18716.225815	18531.198693
9	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	17717.828698	18294.328181
10	GD16	0.647259	0.000000	3.083161	0.000000	0.000000	0.223154	21129.343054	19362.531678
