rhoS_pop	0.00212	nan	-0.00014	0.00000	0.00003	0.00015	-0.00012	0.00018	-0.00002	-0.00001	0.00001
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	-0.00014	nan	0.00576	-0.00006	0.00371	-0.00914	0.00527	-0.00732	0.00008	-0.00008	-0.00111
omega_rhoS	0.00000	nan	-0.00006	0.00112	-0.00005	0.00024	-0.00016	0.00016	-0.00000	-0.00001	0.00003
omega_deltaSC	0.00003	nan	0.00371	-0.00005	0.02352	-0.00970	0.00520	-0.00574	0.00008	0.00011	-0.00363
omega_rhoC	0.00015	nan	-0.00914	0.00024	-0.00970	0.04611	-0.01985	0.02494	-0.00021	0.00053	0.00345
omega_deltaCB	-0.00012	nan	0.00527	-0.00016	0.00520	-0.01985	0.01188	-0.01461	0.00011	-0.00028	-0.00204
omega_rhoB	0.00018	nan	-0.00732	0.00016	-0.00574	0.02494	-0.01461	0.02315	-0.00015	0.00037	0.00236
b1	-0.00002	nan	0.00008	-0.00000	0.00008	-0.00021	0.00011	-0.00015	0.00046	0.00000	-0.00002
b2	-0.00001	nan	-0.00008	-0.00001	0.00011	0.00053	-0.00028	0.00037	0.00000	0.00055	0.00003
b3	0.00001	nan	-0.00111	0.00003	-0.00363	0.00345	-0.00204	0.00236	-0.00002	0.00003	0.00269
