rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062054	-0.083796
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.136037	-0.078375
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.178807	-0.115041
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052301	0.082129
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.081062	-0.192960
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.036445	-0.191302
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062994	-0.197741
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.167791	-0.172166
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.076526	0.039661
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.042729	-0.108783
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.308555	0.208302
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.260730	0.255604
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.256099	0.243925
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.190097	0.121588
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.162091	0.302440
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.216285	0.206152
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.144655	0.210165
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.197433	0.140322
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.210570	0.305837
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.346257	0.096902
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.198091	-0.006011
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019424	-0.073653
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.134514	-0.060653
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.131510	-0.019978
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.149622	-0.110276
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029247	-0.059051
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.194640	-0.056250
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.108996	-0.066183
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.042952	-0.072634
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.138912	-0.084552
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.162341	0.126461
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.235290	0.223119
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.251501	0.177397
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.218168	0.095411
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233490	0.285001
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.260712	0.115865
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.303312	0.337160
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095232	0.148071
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.197043	0.221448
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.369461	0.210450
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.145255	0.329144
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061778	0.174599
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.112794	0.226037
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.063062	0.238641
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007318	0.246403
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175272	0.256980
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056481	0.402115
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.196753	0.152246
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001966	0.225745
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029051	0.083822
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.160451	-0.205522
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061944	-0.095414
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011011	0.017455
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023200	-0.095613
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009173	-0.066917
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002890	-0.072800
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.058869	-0.015096
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052550	-0.187066
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.207487	-0.145632
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008728	-0.083028
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.123018	-0.128974
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.039658	-0.273380
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.209623	-0.221946
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.201547	-0.262824
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.115460	-0.287005
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.073918	-0.313859
7	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.333691	-0.262753
8	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.151693	-0.259805
9	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.495346	-0.334810
10	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.026175	-0.317117
