rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	17455.827927	23902.930705
2	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	24543.787213	20196.004939
3	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	23451.366237	19298.282379
4	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	24532.232254	22598.176497
5	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	19451.628540	23531.041401
6	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	20429.088245	20166.805730
7	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	21411.601931	22939.110622
8	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	20822.710611	20439.303541
9	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	19763.614203	20246.757080
10	AG111	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	19938.555992	24464.409988
1	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	27626.950275	33263.576287
2	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	29581.335568	31466.724706
3	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	29686.405263	28147.518496
4	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	27123.518798	32303.006078
5	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	29110.628047	31280.873346
6	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	25885.814931	29308.836340
7	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	30779.420322	30543.856411
8	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	28761.409260	34107.190740
9	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	27227.051796	33168.356118
10	AG112	0.648142	0.000000	3.072904	0.000000	0.000000	0.222805	28318.600481	31601.040284
