rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.285112	-0.050269
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.055673	-0.218786
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010143	-0.264254
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.055202	-0.106401
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.176855	-0.065950
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.127826	-0.220232
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.080853	-0.091427
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.108742	-0.206811
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.160943	-0.216276
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.152131	-0.027051
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174006	0.280193
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242358	0.224660
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.245903	0.113189
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.155615	0.250890
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.226317	0.218736
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108909	0.153619
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.282060	0.194893
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.214249	0.305238
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.159425	0.277326
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198733	0.228920
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.097769	-0.080133
2	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027607	-0.012015
3	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.115128	-0.116144
4	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.123559	-0.191862
5	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.190205	-0.173595
6	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.119073	-0.128958
7	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.201539	-0.115482
8	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.239192	-0.043167
9	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113148	-0.115472
10	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.179547	-0.079711
1	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.306911	0.097054
2	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.286081	0.138201
3	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.312689	0.124879
4	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.191629	0.157477
5	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.144787	0.206058
6	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.239650	0.236686
7	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.394726	0.140419
8	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.161099	0.244369
9	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.305745	0.178371
10	AG142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.219429	0.259805
1	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181434	0.264274
2	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.113619	0.088406
3	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003485	0.064295
4	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016567	0.010653
5	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.064509	0.122232
6	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052606	0.195899
7	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.022290	0.171962
8	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.056295	0.018619
9	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014964	0.065878
10	GD14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.042724	0.116587
1	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175285	-0.189251
2	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031917	-0.179503
3	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.099905	-0.055742
4	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006655	-0.194962
5	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005088	-0.196247
6	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014170	-0.248409
7	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.093798	-0.210450
8	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029151	-0.161335
9	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035619	-0.259281
10	GD15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010416	-0.220418
1	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.349538	-0.228601
2	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444719	-0.254483
3	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.133496	-0.310035
4	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.396135	-0.329361
5	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.237646	-0.396927
6	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.226665	-0.193802
7	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.190477	-0.328151
8	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.182866	-0.274034
9	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.253821	-0.111385
10	GD16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.141739	-0.299962
