rhoS_pop	1.00000	nan	nan	0.00077	0.00829	0.00916	-0.02653	-0.00803	-0.00477
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_rhoS	0.00077	nan	nan	1.00000	-0.02071	-0.03334	-0.00423	-0.01119	0.01211
omega_deltaSC	0.00829	nan	nan	-0.02071	1.00000	0.04417	0.01267	0.06395	-0.33051
omega_deltaCB	0.00916	nan	nan	-0.03334	0.04417	1.00000	0.00417	0.00045	-0.10832
b1	-0.02653	nan	nan	-0.00423	0.01267	0.00417	1.00000	0.01238	-0.00493
b2	-0.00803	nan	nan	-0.01119	0.06395	0.00045	0.01238	1.00000	-0.02112
b3	-0.00477	nan	nan	0.01211	-0.33051	-0.10832	-0.00493	-0.02112	1.00000
